iter	Cox
0	-120081.3244
1	-119920.9291
2	-119783.8195
3	-119655.8205
4	-119547.8323
5	-119437.9758
6	-119358.6616
7	-119275.9442
8	-119187.0545
9	-119101.2284
10	-119030.1974
11	-118966.6004
12	-118919.0005
13	-118866.5936
14	-118819.8501
15	-118769.8586
16	-118728.1231
17	-118693.07
18	-118662.5134
19	-118627.9866
20	-118596.6845
21	-118564.6077
22	-118542.5573
23	-118518.4074
24	-118502.0486
25	-118478.3854
26	-118450.0188
27	-118431.962
28	-118404.3015
29	-118377.4526
30	-118363.9493
31	-118348.9518
32	-118334.5866
33	-118321.0341
34	-118302.983
35	-118286.968
36	-118265.4707
37	-118249.5259
38	-118232.1638
39	-118216.394
40	-118197.1606
41	-118184.8275
42	-118173.574
43	-118155.6153
44	-118146.1891
45	-118131.239
46	-118119.1017
47	-118108.529
48	-118097.2587
49	-118085.6113
50	-118071.6121
51	-118056.9655
52	-118047.6677
53	-118034.718
54	-118024.1982
55	-118015.1383
56	-118002.1964
57	-117992.5936
58	-117982.0577
59	-117970.8326
60	-117959.8249
61	-117949.2627
62	-117942.8209
63	-117937.7059
64	-117930.5748
65	-117922.1511
66	-117914.6933
67	-117908.6101
68	-117904.215
69	-117897.2699
70	-117893.2711
71	-117884.5
72	-117872.3903
73	-117867.3467
74	-117861.7952
75	-117856.0999
76	-117847.4699
77	-117838.9364
78	-117834.7666
79	-117831.0394
80	-117826.7363
81	-117819.6302
82	-117808.9039
83	-117802.6965
84	-117792.9652
85	-117784.5513
86	-117780.5675
87	-117773.0657
88	-117765.4202
89	-117759.7856
90	-117750.3868
91	-117745.7682
92	-117739.9004
93	-117735.3069
94	-117730.931
95	-117727.1747
96	-117720.5962
97	-117712.0985
98	-117708.6396
99	-117705.6085
100	-117700.1212
101	-117693.0648
102	-117688.9708
103	-117685.8302
104	-117681.3767
105	-117675.484
106	-117670.7531
107	-117666.9085
108	-117662.2409
109	-117658.4456
110	-117654.9071
111	-117649.1353
112	-117643.8328
113	-117639.2021
114	-117636.6005
115	-117630.6545
116	-117625.1256
117	-117622.2622
118	-117617.178
119	-117613.5769
120	-117607.7541
121	-117600.862
122	-117594.2757
123	-117590.8929
124	-117588.1988
125	-117586.0094
126	-117583.5591
127	-117580.8096
128	-117577.872
129	-117572.3998
130	-117567.2372
131	-117559.6942
132	-117556.2906
133	-117551.9222
134	-117549.3129
135	-117544.3863
136	-117536.7393
137	-117534.7793
138	-117531.89
139	-117527.6661
140	-117524.0156
141	-117518.855
142	-117513.4104
143	-117512.3089
144	-117507.3363
145	-117501.866
146	-117496.8081
147	-117493.3526
148	-117489.81
149	-117483.6826
150	-117483.0803
151	-117480.589
152	-117477.9568
153	-117472.9594
154	-117470.9232
155	-117463.1382
156	-117459.6473
157	-117458.0372
158	-117453.8931
159	-117451.936
160	-117450.6376
161	-117444.5696
162	-117441.4108
163	-117439.1164
164	-117435.1598
165	-117431.917
166	-117431.3842
167	-117426.6917
168	-117420.5791
169	-117417.664
170	-117414.964
171	-117410.9534
172	-117407.6072
173	-117405.8167
174	-117402.9693
175	-117398.4137
176	-117394.5122
177	-117392.3767
178	-117388.8914
179	-117387.1855
180	-117384.0212
181	-117381.3402
182	-117379.6576
183	-117378.216
184	-117374.8798
185	-117371.5746
186	-117368.3572
187	-117363.2895
188	-117361.1589
189	-117356.3631
190	-117352.9477
191	-117348.2138
192	-117343.119
193	-117340.7568
194	-117334.6339
195	-117330.5927
196	-117328.7277
197	-117326.6497
198	-117325.4707
199	-117322.3708
200	-117319.1388
201	-117316.3721
202	-117313.8676
203	-117310.8798
204	-117307.9463
205	-117307.1463
206	-117303.1554
207	-117298.6072
208	-117296.3295
209	-117291.5283
210	-117289.4934
211	-117286.1713
212	-117280.6928
213	-117277.9353
214	-117273.7932
215	-117272.3263
216	-117268.669
217	-117266.5777
218	-117264.6687
219	-117261.9342
220	-117259.8623
221	-117259.2927
222	-117256.0603
223	-117253.3735
224	-117250.3992
225	-117244.9028
226	-117243.411
227	-117237.4292
228	-117235.1074
229	-117231.2827
230	-117226.2447
231	-117224.5568
232	-117220.606
233	-117216.5136
234	-117213.4375
235	-117211.8361
236	-117210.1527
237	-117206.7556
238	-117205.0604
239	-117201.8366
240	-117201.4497
241	-117197.2186
242	-117194.9534
243	-117192.0858
244	-117188.9455
245	-117185.4485
246	-117180.7612
247	-117177.1897
248	-117173.3964
249	-117171.7137
250	-117168.0826
251	-117166.0555
252	-117161.2844
253	-117158.8791
254	-117156.745
255	-117154.6389
256	-117152.2907
257	-117150.6179
258	-117145.3164
259	-117143.7147
260	-117141.0318
261	-117138.5682
262	-117137.9143
263	-117137.1488
264	-117135.9952
265	-117130.0694
266	-117126.2478
267	-117122.2761
268	-117120.8194
269	-117117.1812
270	-117115.8706
271	-117112.2206
272	-117111.2142
273	-117110.2724
274	-117105.7542
275	-117102.5958
276	-117101.8163
277	-117097.5889
278	-117094.9612
279	-117093.951
280	-117091.6403
281	-117090.2746
282	-117086.9182
283	-117084.525
284	-117081.4748
285	-117078.9823
286	-117076.5692
287	-117075.3874
288	-117071.2648
289	-117067.8695
290	-117063.5291
291	-117059.6132
292	-117058.3172
293	-117054.7416
294	-117054.1757
295	-117051.3087
296	-117048.6907
297	-117045.3814
298	-117043.6109
299	-117040.0245
300	-117037.2634
301	-117035.0177
302	-117031.8161
303	-117027.5084
304	-117023.2455
305	-117022.0347
306	-117015.544
307	-117014.7933
308	-117012.9029
309	-117011.1279
310	-117008.317
311	-117005.8875
312	-117001.4734
313	-117000.6002
314	-116997.5201
315	-116993.9976
316	-116991.9281
317	-116990.9841
318	-116990.1508
319	-116988.5079
320	-116987.2461
321	-116986.5356
322	-116985.3452
323	-116983.9548
324	-116982.5257
325	-116979.5245
326	-116976.9428
327	-116976.0591
328	-116973.2336
329	-116968.5795
330	-116966.1907
331	-116963.8659
332	-116960.7435
333	-116957.9747
334	-116956.3589
335	-116955.4029
336	-116952.3896
337	-116949.3494
338	-116947.3587
339	-116944.3958
340	-116941.8364
341	-116939.5212
342	-116937.6015
343	-116937.2019
344	-116934.3802
345	-116932.1618
346	-116930.5757
347	-116928.9321
348	-116927.2275
349	-116926.9881
350	-116925.9093
351	-116922.2558
352	-116919.5982
353	-116918.8653
354	-116916.2762
355	-116913.2521
356	-116912.4488
357	-116909.9782
358	-116908.4467
359	-116907.5442
360	-116906.562
361	-116904.4338
362	-116902.7751
363	-116901.0674
364	-116900.1349
365	-116898.4877
366	-116897.4372
367	-116894.6137
368	-116892.4511
369	-116891.4146
370	-116889.2676
371	-116887.9215
372	-116884.7158
373	-116880.1202
374	-116879.0277
375	-116877.8042
376	-116875.6413
377	-116875.0465
378	-116873.6053
