iter	Passed	Remaining
0	25	29213
1	54	31143
2	72	27563
3	91	25795
4	107	24292
5	124	23454
6	142	22948
7	161	22790
8	179	22456
9	197	22282
10	215	22048
11	231	21702
12	247	21400
13	265	21307
14	283	21158
15	300	21058
16	318	20950
17	336	20878
18	354	20831
19	374	20902
20	392	20820
21	410	20790
22	432	20907
23	448	20780
24	466	20710
25	484	20672
26	501	20589
27	517	20478
28	535	20435
29	553	20416
30	573	20451
31	591	20408
32	606	20279
33	622	20161
34	637	20053
35	655	20016
36	674	20025
37	691	19989
38	707	19912
39	724	19846
40	742	19842
41	759	19770
42	776	19744
43	794	19712
44	813	19717
45	829	19650
46	844	19575
47	860	19512
48	877	19466
49	893	19396
50	910	19362
51	927	19344
52	945	19312
53	960	19250
54	975	19178
55	991	19115
56	1006	19061
57	1026	19076
58	1041	19007
59	1058	18978
60	1075	18959
61	1092	18926
62	1108	18875
63	1122	18796
64	1136	18730
65	1155	18725
66	1170	18682
67	1185	18611
68	1200	18567
69	1216	18519
70	1230	18457
71	1249	18457
72	1267	18450
73	1283	18419
74	1298	18370
75	1314	18337
76	1332	18325
77	1348	18290
78	1364	18258
79	1380	18221
80	1397	18202
81	1416	18203
82	1432	18176
83	1447	18129
84	1462	18087
85	1477	18041
86	1492	17991
87	1509	17975
88	1528	17983
89	1544	17945
90	1560	17914
91	1574	17871
92	1589	17831
93	1603	17776
94	1619	17748
95	1636	17729
96	1654	17719
97	1673	17724
98	1689	17697
99	1706	17675
100	1721	17638
101	1739	17630
102	1756	17614
103	1771	17580
104	1786	17542
105	1803	17524
106	1822	17523
107	1838	17495
108	1855	17481
109	1871	17456
110	1889	17446
111	1904	17414
112	1919	17373
113	1933	17333
114	1948	17302
115	1966	17293
116	1985	17292
117	2001	17270
118	2018	17248
119	2034	17228
120	2050	17202
121	2066	17176
122	2092	17237
123	2114	17254
124	2133	17254
125	2148	17220
126	2166	17209
127	2182	17191
128	2197	17154
129	2212	17122
130	2229	17102
131	2245	17079
132	2260	17044
133	2276	17026
134	2293	17007
135	2310	16986
136	2328	16980
137	2344	16952
138	2359	16925
139	2377	16913
140	2393	16892
141	2409	16864
142	2427	16857
143	2442	16822
144	2458	16804
145	2475	16784
146	2491	16762
147	2508	16747
148	2528	16748
149	2546	16741
150	2564	16729
151	2585	16737
152	2603	16729
153	2624	16732
154	2643	16728
155	2664	16739
156	2684	16738
157	2703	16732
158	2724	16741
159	2744	16742
160	2762	16730
161	2785	16746
162	2803	16735
163	2821	16724
164	2841	16720
165	2861	16719
166	2879	16710
167	2899	16704
168	2920	16709
169	2939	16702
170	2959	16699
171	2978	16691
172	2999	16697
173	3018	16688
174	3037	16677
175	3054	16661
176	3069	16628
177	3083	16593
178	3098	16564
179	3113	16535
180	3128	16509
181	3145	16487
182	3159	16454
183	3174	16425
184	3191	16407
185	3207	16381
186	3222	16354
187	3238	16332
188	3254	16306
189	3272	16292
190	3288	16268
191	3305	16251
192	3322	16234
193	3341	16226
194	3359	16214
195	3376	16191
196	3391	16163
197	3405	16134
198	3420	16104
199	3435	16077
200	3451	16056
201	3468	16035
202	3482	16007
203	3498	15982
204	3514	15963
205	3527	15927
206	3543	15903
207	3558	15876
208	3571	15842
209	3586	15816
210	3600	15784
211	3615	15759
212	3631	15735
213	3647	15713
214	3664	15699
215	3678	15669
216	3694	15645
217	3707	15612
218	3721	15581
219	3734	15550
220	3748	15519
221	3761	15486
222	3775	15457
223	3789	15427
224	3802	15397
225	3819	15378
226	3833	15348
227	3848	15328
228	3863	15302
229	3878	15276
230	3897	15269
231	3916	15260
232	3934	15246
233	3949	15223
234	3964	15201
235	3981	15182
236	4000	15174
237	4015	15152
238	4029	15125
239	4046	15106
240	4059	15077
241	4075	15055
242	4089	15028
243	4104	15004
244	4119	14981
245	4134	14957
246	4151	14942
247	4168	14925
248	4184	14906
249	4198	14879
250	4213	14855
251	4229	14835
252	4246	14820
253	4262	14799
254	4278	14782
255	4294	14760
256	4310	14744
257	4327	14727
258	4345	14714
259	4360	14692
260	4376	14671
261	4391	14650
262	4407	14628
263	4419	14598
264	4433	14572
265	4450	14554
266	4465	14533
267	4481	14515
268	4494	14487
269	4509	14463
270	4524	14442
271	4539	14420
272	4552	14390
273	4566	14367
274	4581	14345
275	4598	14327
276	4611	14301
277	4627	14280
278	4641	14256
279	4654	14229
280	4668	14206
281	4681	14177
282	4696	14156
283	4714	14143
284	4730	14124
285	4744	14100
286	4758	14077
287	4771	14048
288	4786	14029
289	4802	14009
290	4818	13991
291	4834	13973
292	4849	13952
293	4864	13931
294	4878	13907
295	4893	13886
296	4907	13864
297	4924	13848
298	4940	13830
299	4955	13810
300	4971	13792
301	4987	13774
302	5006	13762
303	5023	13748
304	5040	13732
305	5055	13711
306	5071	13695
307	5085	13672
308	5099	13649
309	5114	13626
310	5129	13607
311	5145	13589
312	5160	13570
313	5174	13545
314	5189	13526
315	5204	13505
316	5219	13484
317	5232	13459
318	5246	13437
319	5260	13413
320	5274	13391
321	5288	13368
322	5302	13346
323	5315	13322
324	5331	13305
325	5348	13288
326	5362	13266
327	5376	13243
328	5390	13223
329	5405	13203
330	5420	13183
331	5435	13163
332	5452	13148
333	5467	13127
334	5481	13105
335	5495	13084
336	5509	13062
337	5524	13043
338	5539	13024
339	5555	13006
340	5570	12986
341	5584	12965
342	5598	12943
343	5610	12917
344	5624	12896
345	5638	12874
346	5653	12854
347	5667	12832
348	5681	12812
349	5693	12786
350	5706	12763
351	5722	12744
352	5736	12723
353	5748	12699
354	5763	12678
355	5778	12660
356	5793	12640
357	5808	12623
358	5823	12604
359	5839	12587
360	5855	12570
361	5868	12548
362	5882	12527
363	5896	12505
364	5908	12481
365	5922	12458
366	5935	12436
367	5950	12418
368	5965	12400
369	5980	12380
370	5996	12365
371	6011	12345
372	6027	12329
373	6042	12311
374	6056	12290
375	6069	12269
376	6089	12260
377	6102	12236
378	6116	12217
379	6131	12198
380	6146	12179
381	6161	12161
382	6174	12139
383	6187	12117
384	6203	12099
385	6215	12076
386	6228	12053
387	6242	12035
388	6258	12018
389	6272	11999
390	6286	11978
391	6299	11956
392	6312	11934
393	6325	11913
394	6348	11910
395	6363	11892
396	6377	11871
397	6390	11849
398	6405	11832
399	6421	11815
400	6435	11796
401	6450	11777
402	6465	11760
403	6481	11742
404	6494	11722
405	6509	11703
406	6523	11685
407	6537	11664
408	6551	11644
409	6567	11628
410	6581	11609
411	6597	11592
412	6612	11575
413	6627	11558
414	6641	11537
415	6655	11518
416	6667	11495
417	6682	11478
418	6697	11460
419	6710	11440
420	6729	11428
421	6744	11412
422	6758	11392
423	6773	11374
424	6787	11354
425	6802	11337
426	6816	11318
427	6832	11302
428	6848	11286
429	6863	11268
430	6878	11252
431	6892	11232
432	6908	11216
433	6924	11200
434	6939	11182
435	6955	11167
436	6972	11153
437	6987	11136
438	7003	11118
439	7016	11098
440	7032	11082
441	7046	11064
442	7061	11046
443	7076	11029
444	7092	11012
445	7105	10993
446	7120	10975
447	7135	10958
448	7151	10942
449	7167	10926
450	7183	10910
451	7199	10894
452	7212	10874
453	7228	10857
454	7242	10840
455	7258	10823
456	7273	10806
457	7287	10787
458	7300	10767
459	7315	10750
460	7329	10732
461	7343	10713
462	7357	10694
463	7370	10674
464	7383	10654
465	7397	10635
466	7414	10621
467	7428	10603
468	7445	10588
